country,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,lifeExp_1952,lifeExp_1957,lifeExp_1962,lifeExp_1967,lifeExp_1972,lifeExp_1977,lifeExp_1982,lifeExp_1987,lifeExp_1992,lifeExp_1997,lifeExp_2002,lifeExp_2007,pop_1952,pop_1957,pop_1962,pop_1967,pop_1972,pop_1977,pop_1982,pop_1987,pop_1992,pop_1997,pop_2002,pop_2007
Argentina,5911.315053,6856.856212000001,7133.166023000001,8052.953020999999,9443.038526,10079.026740000001,8997.897412,9139.671389,9308.41871,10967.28195,8797.640716,12779.379640000001,62.485,64.399,65.142,65.634,67.065,68.48100000000001,69.942,70.774,71.868,73.275,74.34,75.32,17876956.0,19610538.0,21283783.0,22934225.0,24779799.0,26983828.0,29341374.0,31620918.0,33958947.0,36203463.0,38331121,40301927
Bolivia,2677.3263469999997,2127.686326,2180.972546,2586.886053,2980.331339,3548.097832,3156.510452,2753.6914899999997,2961.699694,3326.143191,3413.26269,3822.1370840000004,40.414,41.89,43.428000000000004,45.032,46.714,50.023,53.858999999999995,57.251000000000005,59.957,62.05,63.883,65.554,2883315.0,3211738.0,3593918.0,4040665.0,4565872.0,5079716.0,5642224.0,6156369.0,6893451.0,7693188.0,8445134,9119152
Brazil,2108.944355,2487.365989,3336.585802,3429.864357,4985.711467,6660.118654,7030.835878,7807.095818000001,6950.283020999999,7957.980823999999,8131.212843000001,9065.800825,50.917,53.285,55.665,57.632,59.504,61.489,63.336000000000006,65.205,67.057,69.388,71.006,72.39,56602560.0,65551171.0,76039390.0,88049823.0,100840058.0,114313951.0,128962939.0,142938076.0,155975974.0,168546719.0,179914212,190010647
Canada,11367.16112,12489.95006,13462.48555,16076.58803,18970.57086,22090.88306,22898.79214,26626.515030000002,26342.88426,28954.92589,33328.96507,36319.235010000004,68.75,69.96,71.3,72.13,72.88,74.21,75.76,76.86,77.95,78.61,79.77,80.653,14785584.0,17010154.0,18985849.0,20819767.0,22284500.0,23796400.0,25201900.0,26549700.0,28523502.0,30305843.0,31902268,33390141
Chile,3939.9787890000002,4315.6227229999995,4519.094331,5106.654313,5494.024437,4756.763836,5095.665738000001,5547.063754,7596.125964,10118.053179999999,10778.78385,13171.63885,54.745,56.074,57.924,60.523,63.441,67.05199999999999,70.565,72.492,74.126,75.816,77.86,78.553,6377619.0,7048426.0,7961258.0,8858908.0,9717524.0,10599793.0,11487112.0,12463354.0,13572994.0,14599929.0,15497046,16284741
Colombia,2144.115096,2323.805581,2492.351109,2678.729839,3264.660041,3815.80787,4397.575659,4903.2191,5444.648617,6117.3617460000005,5755.259962,7006.580419,50.643,55.118,57.863,59.963,61.623000000000005,63.836999999999996,66.653,67.768,68.421,70.313,71.682,72.889,12350771.0,14485993.0,17009885.0,19764027.0,22542890.0,25094412.0,27764644.0,30964245.0,34202721.0,37657830.0,41008227,44227550
Costa Rica,2627.0094710000003,2990.010802,3460.937025,4161.727834,5118.146939,5926.876967,5262.734751,5629.915318,6160.416317,6677.045314,7723.447195000001,9645.06142,57.206,60.026,62.842,65.42399999999999,67.84899999999999,70.75,73.45,74.752,75.71300000000001,77.26,78.123,78.782,926317.0,1112300.0,1345187.0,1588717.0,1834796.0,2108457.0,2424367.0,2799811.0,3173216.0,3518107.0,3834934,4133884
Cuba,5586.53878,6092.174359000001,5180.75591,5690.268015,5305.445256,6380.494965999999,7316.9181069999995,7532.924762999999,5592.843963,5431.990415,6340.646683,8948.102923,59.42100000000001,62.325,65.24600000000001,68.29,70.723,72.649,73.717,74.17399999999999,74.414,76.15100000000001,77.158,78.273,6007797.0,6640752.0,7254373.0,8139332.0,8831348.0,9537988.0,9789224.0,10239839.0,10723260.0,10983007.0,11226999,11416987
Dominican Republic,1397.7171369999999,1544.402995,1662.137359,1653.7230029999998,2189.874499,2681.9889,2861.092386,2899.842175,3044.214214,3614.101285,4563.808154,6025.374752000001,45.928000000000004,49.828,53.458999999999996,56.751000000000005,59.631,61.788000000000004,63.727,66.046,68.457,69.957,70.847,72.235,2491346.0,2923186.0,3453434.0,4049146.0,4671329.0,5302800.0,5968349.0,6655297.0,7351181.0,7992357.0,8650322,9319622
Ecuador,3522.110717,3780.5466509999997,4086.114078,4579.074215,5280.99471,6679.62326,7213.7912670000005,6481.776993,7103.702595000001,7429.455876999999,5773.0445119999995,6873.262326000001,48.357,51.356,54.64,56.678000000000004,58.79600000000001,61.31,64.342,67.23100000000001,69.613,72.312,74.173,74.994,3548753.0,4058385.0,4681707.0,5432424.0,6298651.0,7278866.0,8365850.0,9545158.0,10748394.0,11911819.0,12921234,13755680
